AccidentNumber,Date,WeatherCondition,InjurySeverity,AircraftDamage,LocationID
 SEA08CA056 , 12/31/2007 , VMC , Non-Fatal , Substantial ,70172
 CHI08WA075 , 12/31/2007 , VMC , Non-Fatal , Minor ,5047
 CHI08CA057 , 12/30/2007 , VMC , Non-Fatal , Substantial ,110028
 LAX08FA043 , 12/30/2007 , VMC , Fatal(1) , Substantial ,24026
 NYC08FA071 , 12/30/2007 , VMC , Fatal(3) , Substantial ,119299
 DEN08CA045 , 12/29/2007 , VMC , Non-Fatal , Substantial ,111157
 CHI08CA056 , 12/29/2007 , VMC , Non-Fatal , Substantial ,82113
 CHI08CA058 , 12/29/2007 , VMC , Non-Fatal , Substantial ,96462
 DFW08FA053 , 12/29/2007 , IMC , Fatal(1) , Destroyed ,79485
 DFW08LA052 , 12/29/2007 , VMC , Fatal(2) , Destroyed ,65725
 LAX08WA045 , 12/29/2007 , VMC , Fatal(1) , Substantial ,34991
 DFW08CA051 , 12/28/2007 , VMC , Non-Fatal , Substantial ,51412
 SEA08LA054 , 12/28/2007 , VMC , Non-Fatal , Substantial ,98628
 CHI08FA055 , 12/27/2007 , IMC , Fatal(1) , Destroyed ,83502
 OPS08IA004A , 12/27/2007 , VMC , Incident ,  ,95789
 OPS08IA004B , 12/27/2007 , VMC , Incident ,  ,100580
 MIA08LA032 , 12/26/2007 , VMC , Non-Fatal , Substantial ,71142
 DEN08IA044 , 12/26/2007 , VMC , Incident , Minor ,127461
 NYC08LA070 , 12/26/2007 , VMC , Non-Fatal , Substantial ,70354
 MIA08WA058 , 12/26/2007 , VMC , Non-Fatal , Substantial ,66246
 ANC08LA030 , 12/26/2007 , VMC , Non-Fatal , Substantial ,39076
 SEA08CA052 , 12/26/2007 , VMC , Non-Fatal , Substantial ,22434
 MIA08CA045 , 12/26/2007 , VMC , Non-Fatal , Substantial ,43510
 SEA08LA051 , 12/25/2007 , VMC , Non-Fatal ,  ,114090
 SEA08LA050 , 12/25/2007 , VMC , Non-Fatal ,  ,105420
 CHI08CA059 , 12/24/2007 , VMC , Non-Fatal , Substantial ,102956
 NYC08IA069 , 12/24/2007 , VMC , Incident , Minor ,18510
 DFW08WA050 , 12/23/2007 , VMC , Fatal(3) , Destroyed ,14925
 SEA08CA053 , 12/23/2007 , VMC , Non-Fatal , Substantial ,118319
 ANC08LA029 , 12/23/2007 , VMC , Non-Fatal , Substantial ,75460
 NYC08CA068 , 12/22/2007 , VMC , Non-Fatal , Substantial ,48492
 LAX08CA041 , 12/22/2007 , VMC , Non-Fatal , Substantial ,27809
 DEN08CA043 , 12/22/2007 , VMC , Non-Fatal , Substantial ,70594
 NYC08CA067 , 12/22/2007 , IMC , Non-Fatal , Substantial ,30089
 DFW08CA049 , 12/22/2007 , VMC , Non-Fatal , Substantial ,58779
