RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,takeoff_max_weight,AirportCode
 N2800D , Airplane , Piper , PA-12 , No ,1, Reciprocating ,1455, SNA5
 N284SS , Airplane , Cessna , T303 , No ,  , Reciprocating ,1455,AVY4
 N5093F , Airplane , Lerohl , RV-8 , Yes ,1, Reciprocating ,5092, AXN 
 N254SR , Airplane , Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,3600, PRB 
 N109AE , Airplane , BELL , 206L-3 , No ,1, Turbo Shaft ,115497, EYQ 
 N33MF , Airplane , Piper , PA-46-310P , No ,1, Reciprocating ,2949, TVC 
 N94131 , Airplane , Ercoupe (Eng & Research Corp.) , 415D , No ,1, Reciprocating ,2649, SRQ 
 N8191U , Airplane , Cessna , 172F , No ,1, Reciprocating ,1948, ASE 
 N211EL , Helicopter , Bell , 206L1 , No ,1, Turbo Shaft ,4299, N85 
 N136DG , Gyrocraft , ALTHOUSE , RAF 2000 GTX , Yes ,1, Reciprocating ,4570, 95Z 
 N1458U , Gyrocraft , Robinson , R-44 , No ,  , Reciprocating ,1851, FUL 
 N365SX , Airplane , Cessna ,172, No ,1, Reciprocating ,2599, K7B2 
 N37249 , Airplane , Hein , Sonex , Yes ,1, Reciprocating ,1697, HNL 
 N5875Q , Airplane , CESSNA , 310R , No ,2, Reciprocating ,3600, ONT 
 N47BC , Airplane , Gulfstream American , G5 , No ,  , Reciprocating ,134997, NH15 
 N9412X , Airplane , Raytheon Corporate Jets , H25B , No ,  , Reciprocating ,6999, P14 
 N761YL , Airplane , Mooney , M20E , No ,1, Reciprocating ,1499, GUP 
 N7637D , Airplane , PIPER , PA-46-310P , No ,1, Reciprocating ,13300, CTJ 
 N13974 , Airplane , CESSNA , 182R , No ,1, Reciprocating ,9649, 4R2 
 N5425K , Airplane , Cessna , T210L , No ,  , Reciprocating ,2149, SMX 
 N819NW , Airplane , PIPER , PA-22-150 , No ,1, Reciprocating ,6999, KSGJ 
 N943AS , Airplane , Cessna , 172S , No ,1, Reciprocating ,617, KPUB 
 N719AR , Airplane , Cessna , 172P , No ,1, Reciprocating ,1697, 28TE 
