FlightNumber,accm_txn_complete_time
20080125X00106 ,5/18/2022 0:00
20080206X00141 ,5/19/2022 0:00
20080129X00122 ,5/14/2022 0:00
20080114X00045 ,5/15/2022 0:00
20080109X00032 ,5/16/2022 0:00
20080129X00118 ,5/17/2022 0:00
20080214X00193 ,5/18/2022 0:00
20080215X00200 ,5/19/2022 0:00
20071231X02014 ,5/14/2022 0:00
20080103X00010 ,5/15/2022 0:00
20080117X00071 ,5/16/2022 0:00
20080111X00041 ,5/17/2022 0:00
20080102X00006 ,5/18/2022 0:00
20080108X00030 ,5/19/2022 0:00
20080128X00107 ,5/14/2022 0:00
20080104X00022 ,5/15/2022 0:00
20071231X02008 ,5/16/2022 0:00
20080210X00163 ,5/17/2022 0:00
20080229X00252 ,5/18/2022 0:00
20080129X00123 ,5/19/2022 0:00
20080117X00072 ,5/14/2022 0:00
20080128X00110 ,5/15/2022 0:00
20080107X00025 ,5/16/2022 0:00
20080107X00024 ,5/17/2022 0:00
20080116X00054 ,5/18/2022 0:00
20080321X00351 ,5/19/2022 0:00
20080108X00031 ,5/14/2022 0:00
20080125X00105 ,5/15/2022 0:00
20080201X00128 ,5/16/2022 0:00
20080124X00101 ,5/17/2022 0:00
20080207X00157 ,5/18/2022 0:00
20080128X00114 ,5/19/2022 0:00
20080201X00127 ,5/14/2022 0:00
20080219X00206 ,5/15/2022 0:00
20080117X00070 ,5/16/2022 0:00
20080123X00093 ,5/17/2022 0:00
20080207X00145 ,5/18/2022 0:00
20080115X00049 ,5/19/2022 0:00
20080204X00134 ,5/14/2022 0:00
20080722X01095 ,5/15/2022 0:00
20080416X00491 ,5/16/2022 0:00
20071231X02011 ,5/17/2022 0:00
20071228X02006 ,5/18/2022 0:00
20080117X00066 ,5/19/2022 0:00
20080207X00156 ,5/14/2022 0:00
20080128X00112 ,5/15/2022 0:00
20080201X00129 ,5/16/2022 0:00
20080102X00007 ,5/17/2022 0:00
20080123X00095 ,5/18/2022 0:00
20080327X00393 ,5/19/2022 0:00
20080312X00298 ,5/14/2022 0:00
20080207X00155 ,5/15/2022 0:00
20080318X00323 ,5/16/2022 0:00
20080116X00058 ,5/17/2022 0:00
20081003X62958 ,5/18/2022 0:00
20080204X00133 ,5/19/2022 0:00
20080102X00002 ,5/14/2022 0:00
20080116X00059 ,5/15/2022 0:00
20081031X83921 ,5/16/2022 0:00
20071219X01979 ,5/17/2022 0:00
20071231X02012 ,5/18/2022 0:00
20071217X01939 ,5/19/2022 0:00
20071221X01982 ,5/14/2022 0:00
20071226X01986 ,5/15/2022 0:00
20080102X00001 ,5/16/2022 0:00
20071221X01983 ,5/17/2022 0:00
20080122X00083 ,5/18/2022 0:00
20080131X00126 ,5/19/2022 0:00
20080213X00187 ,5/14/2022 0:00
20071231X02013 ,5/15/2022 0:00
20071226X01987 ,5/16/2022 0:00
20071219X01976 ,5/17/2022 0:00
20080123X00094 ,5/18/2022 0:00
20080215X00201 ,5/19/2022 0:00
20071228X02003 ,5/14/2022 0:00
20080110X00037 ,5/15/2022 0:00
20080123X00097 ,5/16/2022 0:00
20071227X01998 ,5/17/2022 0:00
20080109X00033 ,5/18/2022 0:00
20080117X00064 ,5/19/2022 0:00
20071219X01975 ,5/14/2022 0:00
20080115X00053 ,5/15/2022 0:00
20071219X01978 ,5/16/2022 0:00
20080304X00259 ,5/17/2022 0:00
20071227X01996 ,5/18/2022 0:00
20080109X00034 ,5/19/2022 0:00
20080229X00250 ,5/14/2022 0:00
20071227X02001 ,5/15/2022 0:00
20071218X01970 ,5/16/2022 0:00
20080104X00020 ,5/17/2022 0:00
20080129X00121 ,5/18/2022 0:00
20080124X00100 ,5/19/2022 0:00
20071226X01992 ,5/14/2022 0:00
20071229X02007 ,5/15/2022 0:00
20080123X00099 ,5/16/2022 0:00
20071211X01926 ,5/17/2022 0:00
20071219X01977 ,5/18/2022 0:00
20080214X00189 ,5/19/2022 0:00
20080116X00055 ,5/14/2022 0:00
20080118X00077 ,5/15/2022 0:00
20080219X00207 ,5/16/2022 0:00
20080108X00029 ,5/17/2022 0:00
20071212X01932 ,5/18/2022 0:00
20071227X01997 ,5/19/2022 0:00
20080122X00089 ,5/14/2022 0:00
20071219X01973 ,5/15/2022 0:00
20071211X01927 ,5/16/2022 0:00
20071228X02002 ,5/17/2022 0:00
20071227X02000 ,5/18/2022 0:00
20071212X01931 ,5/19/2022 0:00
20071213X01937 ,5/14/2022 0:00
20080124X00102 ,5/15/2022 0:00
20071206X01909 ,5/16/2022 0:00
20071206X01905 ,5/17/2022 0:00
20081003X17816 ,5/18/2022 0:00
20080116X00057 ,5/19/2022 0:00
20071207X01912 ,5/14/2022 0:00
20071227X01999 ,5/15/2022 0:00
20071212X01930 ,5/16/2022 0:00
20080111X00040 ,5/17/2022 0:00
20080116X00061 ,5/18/2022 0:00
20071231X02009 ,5/19/2022 0:00
20071212X01933 ,5/14/2022 0:00
20071204X01896 ,5/15/2022 0:00
20080109X00035 ,5/16/2022 0:00
20071207X01913 ,5/17/2022 0:00
20071211X01928 ,5/18/2022 0:00
20071212X01936 ,5/19/2022 0:00
20080128X00109 ,5/14/2022 0:00
20071203X01887 ,5/15/2022 0:00
20071203X01889 ,5/16/2022 0:00
20071205X01904 ,5/17/2022 0:00
20071130X01879 ,5/18/2022 0:00
20071129X01876 ,5/19/2022 0:00
20080102X00005 ,5/14/2022 0:00
20080114X00043 ,5/15/2022 0:00
20071227X01995 ,5/16/2022 0:00
20071221X01985 ,5/17/2022 0:00
20071130X01880 ,5/18/2022 0:00
20080214X00190 ,5/19/2022 0:00
20071204X01893 ,5/14/2022 0:00
20071209X01917 ,5/15/2022 0:00
20071210X01921 ,5/16/2022 0:00
20071218X01971 ,5/17/2022 0:00
20080210X00165 ,5/18/2022 0:00
20071126X01838 ,5/19/2022 0:00
20071130X01886 ,5/14/2022 0:00
20071130X01883 ,5/15/2022 0:00
20071221X01981 ,5/16/2022 0:00
20071209X01916 ,5/17/2022 0:00
20071203X01890 ,5/18/2022 0:00
20071221X01984 ,5/19/2022 0:00
20071210X01918 ,5/14/2022 0:00
20071130X01884 ,5/15/2022 0:00
20071206X01908 ,5/16/2022 0:00
20071130X01882 ,5/17/2022 0:00
20071129X01870 ,5/18/2022 0:00
20071210X01920 ,5/19/2022 0:00
20071226X01989 ,5/14/2022 0:00
20071207X01914 ,5/15/2022 0:00
20080116X00060 ,5/16/2022 0:00
20071226X01991 ,5/17/2022 0:00
20080128X00113 ,5/18/2022 0:00
20080512X00651 ,5/19/2022 0:00
20080411X00459 ,5/14/2022 0:00
20071231X02010 ,5/15/2022 0:00
20081219X65252 ,5/16/2022 0:00
20071119X01813 ,5/17/2022 0:00
20071120X01818 ,5/18/2022 0:00
20071121X01828 ,5/19/2022 0:00
20080122X00080 ,5/14/2022 0:00
20071226X01988 ,5/15/2022 0:00
20080311X00295 ,5/16/2022 0:00
20071119X01807 ,5/17/2022 0:00
20071119X01812 ,5/18/2022 0:00
20071212X01934 ,5/19/2022 0:00
20071126X01844 ,5/14/2022 0:00
20071206X01906 ,5/15/2022 0:00
20071206X01907 ,5/16/2022 0:00
20080304X00262 ,5/17/2022 0:00
20080331X00401 ,5/18/2022 0:00
20071204X01894 ,5/19/2022 0:00
20080515X00683 ,5/14/2022 0:00
20080415X00480 ,5/15/2022 0:00
20071121X01833 ,5/16/2022 0:00
20071210X01919 ,5/17/2022 0:00
