FlightNumber,PurposeofFlight,From,To,DepartureTime,ArrivelTime,FlyingHours,Date,PilotID,AircraftID,AccidentNumber
20080125X00106 , Instructional , United States ,Australia,1:35 PM,3:00 PM,1h 25m, 12/31/2007 ,505701, N2800D , SEA08CA056 
20080206X00141 , Unknown , United Kingdom ,Australia,3:55 PM,5:20 PM,1h 25m, 12/31/2007 ,500633, N284SS , CHI08WA075 
20080129X00122 , Personal , United States ,Australia,11:40 AM,1:05 PM,1h 25m, 12/30/2007 ,506945, N5093F , CHI08CA057 
20080114X00045 , Personal , United States ,Australia,8:00 PM,9:25 PM,1h 25m, 12/30/2007 ,497447, N254SR , LAX08FA043 
20080109X00032 , Other Work Use , United States ,Australia,9:00 AM,10:25 AM,1h 25m, 12/30/2007 ,496446, N109AE , NYC08FA071 
20080129X00118 , Personal , United States ,Afghanistan,6:35 AM,8:00 AM,1h 25m, 12/29/2007 ,494067, N33MF , DEN08CA045 
20080214X00193 , Personal , United States ,Afghanistan,6:15 PM,7:40 PM,1h 25m, 12/29/2007 ,498974, N94131 , CHI08CA056 
20080215X00200 , Personal , United States ,Afghanistan,11:00 AM,12:25 PM,1h 25m, 12/29/2007 ,525212, N8191U , CHI08CA058 
20071231X02014 ,  , United States ,Afghanistan,7:00 PM,8:25 PM,1h 25m, 12/29/2007 ,507387, N211EL , DFW08FA053 
20080103X00010 , Personal , United States ,Afghanistan,6:15 PM,7:40 PM,1h 25m, 12/29/2007 ,517714, N136DG , DFW08LA052 
20080117X00071 , Instructional , Australia ,Afghanistan,10:00 AM,11:25 AM,1h 25m, 12/29/2007 ,500798, N1458U , LAX08WA045 
20080111X00041 , Personal , United States ,Afghanistan,4:00 PM,5:25 PM,1h 25m, 12/28/2007 ,489618, N365SX , DFW08CA051 
20080102X00006 , Personal , United States ,Albania,2:00 PM,3:25 PM,1h 25m, 12/28/2007 ,495624, N37249 , SEA08LA054 
20080108X00030 , Personal , United States ,Albania,12:00 PM,1:25 PM,1h 25m, 12/27/2007 ,488974, N5875Q , CHI08FA055 
20080128X00107 , Unknown , United States ,Albania,8:30 PM,9:55 PM,1h 25m, 12/27/2007 ,523022, N47BC , OPS08IA004A 
20080104X00022 , Personal , United States ,Albania,3:00 PM,4:25 PM,1h 25m, 12/26/2007 ,497921, N9412X , OPS08IA004B 
20071231X02008 , Personal , United States ,Albania,9:00 AM,10:25 AM,1h 25m, 12/26/2007 ,487003, N761YL , MIA08LA032 
20080210X00163 , Personal , Venezuela ,Albania,6:00 PM,7:25 PM,1h 25m, 12/26/2007 ,512612, N7637D , DEN08IA044 
20080229X00252 , Instructional , United States ,Albania,9:20 AM,8:40 PM,11h 20m, 12/26/2007 ,490589, N13974 , NYC08LA070 
20080129X00123 , Instructional , United States ,Albania,9:15 AM,6:00 PM,8h 45m, 12/26/2007 ,497155, N5425K , MIA08WA058 
20080117X00072 , Instructional , United States ,Albania,6:30 AM,4:00 PM,9h 30m, 12/26/2007 ,502674, N819NW , ANC08LA030 
20080128X00110 ,  , United States ,Albania,5:00 PM,6:25 PM,1h 25m, 12/25/2007 ,525448, N943AS , SEA08CA052 
20080107X00025 ,  , United States ,Albania,7:00 AM,8:25 AM,1h 25m, 12/25/2007 ,499854, N719AR , MIA08CA045 
20080107X00024 , Personal , United States ,Algeria,6:30 AM,9:05 AM,2h 35m, 12/24/2007 ,513659, N8158B , SEA08LA051 
20080116X00054 , Instructional , United States ,Algeria,6:30 AM,9:25 AM,2h 55m, 12/24/2007 ,513657, N9086Y , SEA08LA050 
20080321X00351 , Unknown , Panama ,Algeria,8:20 AM,11:40 AM,3h 20m, 12/23/2007 ,503269, N572E , CHI08CA059 
20080108X00031 , Personal , United States ,Algeria,8:20 AM,12:40 PM,4h 20m, 12/23/2007 ,511086, N3070A , NYC08IA069 
20080125X00105 , Personal , United States ,Algeria,11:00 AM,8:35 PM,9h 35m, 12/23/2007 ,503229, N418MS , DFW08WA050 
20080201X00128 , Personal , United States ,Algeria,7:30 AM,5:30 PM,10h 0m, 12/22/2007 ,499917, N8305V , SEA08CA053 
20080124X00101 , Personal , United States ,Algeria,8:00 AM,8:35 PM,12h 35m, 12/22/2007 ,527545, N9371M , ANC08LA029 
20080207X00157 , Personal , United States ,Algeria,11:05 AM,6:00 PM,6h 55m, 12/22/2007 ,487368, N212CG , NYC08CA068 
20080128X00114 , Personal , United States ,Angola,6:35 AM,3:00 PM,8h 25m, 12/22/2007 ,496495, N66012 , LAX08CA041 
20080201X00127 , Personal , United States ,Angola,6:40 AM,5:30 PM,10h 50m, 12/22/2007 ,498968, N109SK , DEN08CA043 
20080219X00206 , Personal , United States ,Angola,8:00 PM,8:05 AM,12h 5m, 12/22/2007 ,488790, N901TP , NYC08CA067 
20080117X00070 ,  , United States ,Angola,9:00 PM,9:25 AM,12h 25m, 12/22/2007 ,515677, N844SH , DFW08CA049 
20080123X00093 , Unknown , Guadeloupe ,Argentina,8:30 AM,3:25 PM,6h 55m, 12/22/2007 ,492570, N131RV , SEA08CA055 
20080207X00145 , Instructional , United States ,Argentina,6:50 AM,3:25 PM,8h 35m, 12/21/2007 ,514406, N28836 , MIA08CA040 
20080115X00049 , Personal , United States ,Argentina,8:30 AM,1:45 PM,5h 15m, 12/21/2007 ,508986, N4814L , DEN08RA050 
20080204X00134 , Personal , United States ,Argentina,3:15 PM,8:40 PM,5h 25m, 12/21/2007 ,488051, N1919H , DEN08CA046 
20080722X01095 , Instructional , United States ,Argentina,8:00 AM,9:25 AM,1h 25m, 12/20/2007 ,488434, N49962 , DFW08CA048 
20080416X00491 , Personal , United States ,Argentina,6:00 PM,8:35 PM,2h 35m, 12/20/2007 ,505677, C-FMKB , DFW08LA134 
20071231X02011 , Personal , United States ,Argentina,4:30 PM,7:30 PM,3h 0m, 12/20/2007 ,524292, N7229R , NYC08CA066 
20071228X02006 , Public Aircraft - Federal , Antarctica ,Argentina,4:30 PM,8:35 PM,4h 5m, 12/20/2007 ,525819, N5957F , CHI08FA054 
20080117X00066 , Personal , United States ,Argentina,4:30 PM,9:35 PM,5h 5m, 12/20/2007 ,496844, N954PA , DFW08LA046 
20080207X00156 , Personal , United States ,Argentina,10:00 AM,7:30 PM,9h 30m, 12/20/2007 ,527682, N17784 , ANC08TA028 
20080128X00112 , Business , Bahamas ,Argentina,7:00 AM,7:30 PM,12h 30m, 12/20/2007 ,496000, N5811M , LAX08CA040 
20080201X00129 , Personal , United States ,Argentina,6:30 AM,7:30 PM,13h 0m, 12/20/2007 ,508380, N13616 , DFW08CA047 
20080102X00007 , Instructional , United States ,Argentina,8:25 AM,5:30 PM,9h 5m, 12/19/2007 ,509140, N5499J , MIA08WA033 
20080123X00095 , Unknown , Brazil ,Argentina,6:50 AM,6:30 PM,11h 40m, 12/19/2007 ,498410, N2180E , CHI08FA053 
20080327X00393 , Ferry , United States ,Argentina,8:05 AM,4:00 PM,7h 55m, 12/19/2007 ,516906, N5187B , MIA08CA031 
20080312X00298 ,  , United States ,Armenia,5:25 PM,8:40 PM,3h 15m, 12/18/2007 ,525885, N272SK , NYC08WA065 
20080207X00155 , Personal , United States ,Armenia,6:50 AM,11:00 AM,4h 10m, 12/18/2007 ,502533, N111AX , MIA08CA046 
20080318X00323 ,  , United States ,Armenia,9:20 AM,1:45 PM,4h 25m, 12/18/2007 ,509188, N7252Y , LAX08CA039 
20080116X00058 ,  , United States ,Armenia,4:10 PM,8:40 PM,4h 30m, 12/17/2007 ,517765, N918SW , MIA08CA030 
20081003X62958 ,  , Brazil ,Armenia,6:30 AM,12:30 PM,6h 0m, 12/17/2007 ,486481, N470ZW , ANC08LA027 
20080204X00133 , Personal , France ,Armenia,9:50 AM,5:30 PM,7h 40m, 12/17/2007 ,516177, N751SA , DCA08IA019 
20080102X00002 ,  , United States ,Armenia,7:15 PM,8:05 AM,12h 50m, 12/17/2007 ,498121, N63LH , ENG08WA006 
20080116X00059 , Aerial Application , Chile ,Armenia,11:25 AM,6:30 PM,7h 5m, 12/17/2007 ,502303, N45500 , DEN08WA042 
20081031X83921 , Personal , United States ,Armenia,2:20 PM,5:20 PM,3h 0m, 12/16/2007 ,502634, N407AK , ANC08IA026 
